Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:48:25.210871,59.29840851,802.8922119,-261.2833862,1704.990601,0,0,0,0,0,0,"
",,,,,
 14:48:26.295149,64.25456238,805.2051392,-270.7631836,1704.874634,0,0,0,0,0,0,"
",,,,,
 14:48:27.371000,69.86860657,804.8616333,-281.552887,1702.695313,0,0,0,0,0,0,"
",,,,,
 14:48:28.461320,74.53968048,807.4951172,-296.0278931,1702.023071,0,0,0,0,0,0,"
",,,,,
 14:48:29.539746,76.97389984,806.8309937,-314.7211304,1699.403564,0,0,0,0,0,0,"
",,,,,
 14:48:30.615068,80.78970337,807.5180054,-322.2028809,1697.664673,0,0,0,0,0,0,"
",,,,,
 14:48:31.700196,80.98706055,809.1668091,-325.2443848,1697.966187,0,0,0,0,0,0,"
",,,,,
 14:48:32.786860,79.07917023,807.4035034,-315.7201843,1696.853271,0,0,0,0,0,0,"
",,,,,
 14:48:33.864329,76.68880463,808.6630249,-306.4845886,1697.363281,0,0,0,0,0,0,"
",,,,,
 14:48:34.938970,74.62740326,807.0829468,-297.0047607,1696.366455,0,0,0,0,0,0,"
",,,,,
 14:48:36.23206,72.23704529,808.3653564,-287.5915833,1696.528687,0,0,0,0,0,0,"
",,,,,
 14:48:37.94976,70.85545349,806.991333,-281.3530884,1694.534912,0,0,0,0,0,0,"
",,,,,
 14:48:38.173277,70.63615417,808.8233643,-281.3308716,1694.303101,0,0,0,0,0,0,"
",,,,,
 14:48:39.265768,70.63615417,720.2695313,-281.2420654,1498.87085,0,0,0,0,0,0,"
",,,,,
 14:48:40.338442,70.32913971,585.1373901,-281.4862671,1201.734985,0,0,0,0,0,0,"
",,,,,
 14:48:41.427307,69.38615417,446.8451233,-280.1542053,903.4398193,0,0,0,0,0,0,"
",,,,,
 14:48:42.501163,64.89052582,311.1633911,-272.7168579,606.9530029,0,0,0,0,0,0,"
",,,,,
 14:48:43.576025,56.29401779,125.4454803,-257.9309998,208.7624969,0,0,0,0,0,0,"
",,,,,
 14:48:44.656331,52.08347321,127.1400604,-250.4270935,212.8890839,0,0,0,0,0,0,"
",,,,,
 14:48:45.738725,48.5089035,131.6742401,-244.2552185,218.5688934,0,0,0,0,0,0,"
",,,,,
 14:48:46.822211,48.57469559,130.8269348,-244.2330017,218.8239288,0,0,0,0,0,0,"
",,,,,
 14:48:47.907921,48.22381592,132.3154297,-244.3440247,219.4266815,0,0,0,0,0,0,"
",,,,,
 14:48:48.973490,48.289608,129.521637,-244.2552032,216.6215363,0,0,0,0,0,0,"
",,,,,
 14:48:50.60946,48.20188522,127.5293579,-244.2330017,212.4254456,0,0,0,0,0,0,"
",,,,,
 14:48:51.144492,48.42118454,123.0638809,-244.2996063,206.7687683,0,0,0,0,0,0,"
",,,,,
 14:48:52.227560,48.33346558,123.8195801,-244.521637,206.5601349,0,0,0,0,0,0,"
",,,,,
 14:48:53.298986,48.59662628,122.3310928,-244.4550323,205.8646545,0,0,0,0,0,0,"
",,,,,
 14:48:54.384733,48.55276489,123.6134796,-244.3662109,206.2124023,0,0,0,0,0,0,"
",,,,,
 14:48:55.458175,48.70627594,122.6974869,-244.3440247,205.5632782,0,0,0,0,0,0,"
",,,,,
 14:48:56.536149,48.59662628,123.8653793,-244.0998077,205.4473572,0,0,0,0,0,0,"
",,,,,
 14:48:57.618871,48.59662628,124.1172867,-244.0776062,205.9342041,0,0,0,0,0,0,"
",,,,,
 14:48:58.703948,48.64048386,123.086792,-244.2996063,205.5632629,0,0,0,0,0,0,"
",,,,,
 14:48:59.774016,49.29837799,124.048584,-246.0312958,206.073288,0,0,0,0,0,0,"
",,,,,
 14:49:0.862545,51.0746994,123.2470932,-252.4473877,205.6096497,0,0,0,0,0,0,"
",,,,,
 14:49:1.935684,53.1799736,124.6210785,-261.9715881,205.9110107,0,0,0,0,0,0,"
",,,,,
 14:49:3.24517,55.28524017,123.7737885,-271.5402222,205.6328125,0,0,0,0,0,0,"
",,,,,
 14:49:4.100067,57.41243744,124.8729706,-280.8424377,205.7487488,0,0,0,0,0,0,"
",,,,,
 14:49:5.173668,58.77209473,124.3691788,-288.4129639,205.5864716,0,0,0,0,0,0,"
",,,,,
 14:49:6.259312,59.1229744,125.3309784,-291.2769165,205.7719269,0,0,0,0,0,0,"
",,,,,
 14:49:7.335974,59.1010437,124.5065765,-291.2769165,205.7023926,0,0,0,0,0,0,"
",,,,,
 14:49:8.420420,59.03525543,125.5599823,-291.0770874,205.6791992,0,0,0,0,0,0,"
",,,,,
 14:49:9.496508,59.05718231,124.7584839,-290.9882813,205.401001,0,0,0,0,0,0,"
",,,,,
 14:49:10.586876,59.01332474,124.8271866,-291.0993042,205.1459656,0,0,0,0,0,0,"
",,,,,
 14:49:11.657136,58.96946335,125.3996735,-291.0326843,204.844574,0,0,0,0,0,0,"
",,,,,
 14:49:12.740750,59.1229744,124.7126846,-291.2546997,204.8677673,0,0,0,0,0,0,"
",,,,,
 14:49:13.822929,59.1229744,125.5828705,-291.0770874,205.0068817,0,0,0,0,0,0,"
",,,,,
 14:49:14.894108,59.29841232,125.0561752,-291.3435059,205.3778076,0,0,0,0,0,0,"
",,,,,
 14:49:15.979375,59.21069336,126.0179825,-291.2546997,205.5632782,0,0,0,0,0,0,"
",,,,,
 14:49:17.62200,59.29841232,125.4912872,-291.0770874,205.9573669,0,0,0,0,0,0,"
",,,,,
 14:49:18.144977,59.27648163,126.2927704,-290.7440796,205.8414612,0,0,0,0,0,0,"
",,,,,
